Wearable-2,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
192.168.43.159,0.03125,0.893554688,0.327636719,-7.690429688,0.244140625,1.342773438,1.89E+08
192.168.43.159,0.038085938,0.994628906,0.264648438,-0.244140625,1.403808594,2.197265625,1.89E+08
192.168.43.159,0.041503906,0.931152344,0.269042969,-8.178710938,-5.493164063,1.770019531,1.89E+08
192.168.43.159,0.040527344,0.967773438,0.279785156,-6.042480469,-0.183105469,1.708984375,1.89E+08
192.168.43.159,0.028320313,0.937011719,0.296875,-10.07080078,-1.953125,2.014160156,1.89E+08
192.168.43.159,0.065429688,0.900390625,0.330566406,-5.859375,0.48828125,2.563476563,1.89E+08
192.168.43.159,0.03125,0.987304688,0.284667969,2.319335938,7.690429688,2.014160156,1.89E+08
192.168.43.159,0.018066406,0.966308594,0.274414063,-6.958007813,-1.647949219,2.746582031,1.89E+08
192.168.43.159,0.057617188,0.918945313,0.319335938,-10.68115234,-5.004882813,2.380371094,1.89E+08
192.168.43.159,0.04296875,0.932128906,0.314453125,-5.859375,1.281738281,1.46484375,1.89E+08
192.168.43.159,0.017578125,0.978515625,0.308105469,-5.981445313,1.281738281,2.319335938,1.89E+08
192.168.43.159,0.0546875,0.92578125,0.323242188,-10.49804688,-5.981445313,1.892089844,1.89E+08
192.168.43.159,0.063476563,0.940429688,0.311035156,-6.34765625,-2.258300781,1.586914063,1.89E+08
192.168.43.159,0.071777344,0.909179688,0.293945313,-1.831054688,2.197265625,3.295898438,1.89E+08
192.168.43.159,0.016113281,0.962890625,0.276367188,-3.41796875,4.211425781,2.746582031,1.89E+08
192.168.43.159,0.037109375,0.939453125,0.307617188,-11.35253906,-1.647949219,1.892089844,1.89E+08
192.168.43.159,0.061035156,0.941894531,0.344238281,-10.25390625,0.427246094,2.807617188,1.89E+08
192.168.43.159,0.035644531,0.917480469,0.350585938,-13.79394531,-0.854492188,2.136230469,1.89E+08
192.168.43.159,0.084472656,0.900878906,0.360839844,-4.577636719,0.427246094,2.44140625,1.89E+08
